"id";"created_at";"user_id";"product_id";"discount";"quantity";"subtotal";"tax";"total"
1;"2019-02-11T21:40:27.892Z";1;14;0.0;2;37.6481;2.07;39.7181
2;"2018-05-15T08:04:04.580Z";1;123;0.0;3;110.931;6.1;117.038
3;"2019-12-06T22:22:48.544Z";1;105;6.41668;2;52.7235;2.9;55.6221
4;"2019-08-22T16:30:42.392Z";1;94;0.0;6;109.219;6.01;115.221
5;"2018-10-10T03:34:47.309Z";1;132;0.0;5;127.882;7.03;134.942
6;"2019-11-06T16:38:50.134Z";1;60;0.0;3;29.8021;1.64;31.4417
7;"2018-09-11T11:22:26.521Z";1;55;0.0;5;95.7713;5.27;101.061
8;"2019-06-17T02:37:41.693Z";1;65;8.65395;7;68.2277;3.75;71.9646
9;"2017-05-03T16:00:54.923Z";1;184;3.59474;3;77.3983;4.26;81.6743
10;"2020-01-17T01:44:37.233Z";1;6;0.0;2;97.4362;5.36;102.771
11;"2018-07-22T20:31:01.969Z";1;76;0.0;6;63.8242;3.51;67.3054
12;"2018-06-26T23:21:13.271Z";3;7;0.0;7;148.229;10.19;158.445
13;"2019-04-06T01:04:43.973Z";3;70;2.11734;2;57.493;3.95;61.4234
14;"2017-05-25T20:50:37.137Z";3;139;0.0;4;51.1851;3.52;54.6714
15;"2018-06-26T02:24:38.715Z";3;116;0.0;5;114.425;7.87;122.309
16;"2017-12-14T11:28:30.031Z";3;68;0.0;1;76.829;5.28;82.1596
17;"2020-02-06T12:14:36.282Z";3;48;0.0;1;123.209;8.47;131.66
18;"2020-04-10T23:29:46.804Z";3;12;0.0;2;116.014;7.98;123.935
19;"2019-02-14T07:28:31.104Z";3;136;0.0;1;105.204;7.23;112.53
20;"2018-04-21T04:18:01.863Z";3;160;9.48067;4;47.5912;3.27;50.8658
21;"2018-05-02T03:57:22.388Z";3;94;0.0;5;109.219;7.51;116.63
22;"2019-12-12T21:32:01.533Z";4;10;6.75265;1;47.6793;1.38;49.0561
23;"2019-06-02T11:33:15.096Z";4;85;0.0;5;54.901;1.59;56.5116
24;"2019-09-20T17:28:38.643Z";4;14;0.0;6;37.6481;1.09;38.7486
25;"2019-12-21T12:23:13.696Z";4;97;0.0;2;112.418;3.26;115.641
26;"2018-06-20T02:18:00.254Z";5;40;0.0;5;99.6624;3.99;103.576
27;"2019-04-28T07:01:15.932Z";6;14;0.0;2;37.6481;1.51;39.1153
28;"2018-05-23T18:15:24.432Z";6;49;9.14506;4;131.429;5.26;136.78
29;"2018-03-07T22:56:54.735Z";6;45;0.0;1;118.05;4.72;122.677
30;"2019-04-15T12:24:20.170Z";6;179;0.0;3;68.3241;2.73;71.0249
31;"2018-05-22T04:28:04.569Z";7;191;0.0;6;128.584;9.0;137.802
32;"2018-06-04T05:11:15.294Z";7;82;0.0;7;60.8955;4.26;65.1583
33;"2019-06-18T11:17:03.676Z";7;172;6.48103;4;122.365;8.57;130.97
34;"2019-01-04T21:12:38.428Z";7;3;0.0;1;53.0831;3.72;56.8053
35;"2017-10-10T01:37:18.769Z";7;21;0.0;5;40.3833;2.83;43.2784
36;"2018-07-04T00:34:31.322Z";7;145;0.0;4;61.1983;4.28;65.5268
37;"2017-08-30T12:40:52.641Z";7;17;0.0;4;53.2907;3.73;57.0089
38;"2018-07-25T23:27:34.530Z";7;39;0.0;5;114.582;8.02;122.435
39;"2018-05-09T03:09:25.897Z";7;142;0.0;4;70.3485;4.92;75.381
40;"2019-11-21T23:35:02.479Z";7;101;0.0;2;139.825;9.79;149.736
41;"2018-12-04T00:08:37.569Z";7;51;0.0;2;75.6506;5.3;81.1044
42;"2019-11-16T08:11:08.666Z";7;145;0.0;3;61.1983;4.28;65.5559
43;"2019-11-03T20:24:38.219Z";8;193;0.0;3;50.3808;3.27;53.7051
44;"2017-10-01T14:47:29.444Z";8;101;0.0;6;93.2166;6.06;99.3344
45;"2017-09-25T00:11:10.923Z";8;141;0.0;5;84.1354;5.47;89.7021
46;"2018-06-14T03:09:15.751Z";8;8;0.0;4;98.8382;6.42;105.272
47;"2018-07-06T00:35:40.063Z";8;104;0.0;4;106.442;6.92;113.504
48;"2019-05-16T20:17:06.720Z";8;140;0.0;5;66.8031;4.34;71.2514
49;"2019-11-17T09:19:09.682Z";8;157;0.0;3;139.894;9.09;149.097
50;"2018-01-01T07:26:31.444Z";8;12;0.0;2;116.014;7.54;123.556
51;"2017-12-06T03:46:28.378Z";8;114;0.0;2;51.9413;3.38;55.2549
52;"2018-07-15T23:04:22.325Z";9;34;0.0;3;74.3039;4.46;78.6567
53;"2018-09-15T13:06:14.139Z";9;79;0.0;3;41.6169;2.5;44.2258
54;"2018-10-26T20:41:23.428Z";10;68;7.63762;4;115.243;6.63;122.116
55;"2017-08-16T09:51:35.096Z";10;149;0.0;5;46.1028;2.65;48.6591
56;"2016-12-02T08:04:45.937Z";10;109;0.0;1;79.3666;4.56;84.0511
57;"2020-02-05T03:28:52.924Z";10;42;0.0;1;38.0041;2.19;40.3065
58;"2019-03-09T01:05:15.721Z";10;91;0.0;1;65.0943;3.74;68.8829
59;"2019-04-11T18:53:36.645Z";10;71;0.0;1;82.8038;4.76;87.5364
60;"2018-07-10T03:17:28.857Z";10;92;0.0;2;124.892;7.18;132.23
61;"2019-09-23T11:07:08.376Z";10;11;0.0;3;132.457;7.62;140.563
62;"2018-10-13T19:02:04.952Z";10;198;0.0;6;70.1461;4.03;74.18
63;"2018-04-14T19:47:06.649Z";10;58;0.0;3;78.1458;4.49;82.5681
64;"2019-02-23T16:13:35.970Z";10;65;0.0;2;68.2277;3.92;72.2637
65;"2018-09-14T23:33:17.679Z";10;53;0.0;5;44.2759;2.55;46.7318
66;"2018-03-30T20:03:22.716Z";10;15;3.44473;1;37.6481;2.16;39.7648
67;"2018-05-30T05:01:21.334Z";10;152;7.80685;5;48.8957;2.81;51.7188
68;"2019-05-28T14:47:23.973Z";12;25;0.0;5;68.6226;2.74;71.3666
69;"2019-06-28T14:19:18.995Z";12;183;0.0;8;56.6974;2.27;59.0928
70;"2019-11-21T11:21:36.739Z";12;22;0.0;3;32.1368;1.29;33.4181
71;"2017-09-01T11:51:46.788Z";12;161;0.0;4;31.7275;1.27;32.9409
72;"2017-07-18T10:51:55.733Z";12;13;0.0;5;75.0862;3.0;78.3515
73;"2019-08-18T02:49:20.543Z";12;122;0.0;7;99.8453;3.99;103.777
74;"2020-02-20T00:36:30.807Z";12;154;1.84576;1;81.8753;3.28;85.4137
75;"2017-04-10T23:33:10.082Z";12;13;0.0;2;75.0862;3.0;77.9587
76;"2016-12-19T19:40:17.782Z";15;185;0.0;2;26.3847;1.72;28.0989
